instance	g	run	solution	time
crane100_6	8	9	4279714.00	7.04
crane100_6	8	10	4303469.00	7.07
crane100_7	2	1	1336728.00	1.10
crane100_7	2	2	1336728.00	1.10
crane100_7	2	3	1336728.00	1.10
crane100_7	2	4	1336728.00	1.11
crane100_7	2	5	1336728.00	1.14
crane100_7	2	6	1336728.00	1.09
crane100_7	2	7	1336728.00	1.12
crane100_7	2	8	1336728.00	1.08
crane100_7	2	9	1336728.00	1.07
crane100_7	2	10	1336728.00	1.09
crane100_7	5	1	2750771.00	2.06
crane100_7	5	2	2750771.00	2.02
crane100_7	5	3	2750771.00	2.06
crane100_7	5	4	2750771.00	2.05
crane100_7	5	5	2750771.00	2.01
crane100_7	5	6	2750771.00	2.05
crane100_7	5	7	2750771.00	2.04
crane100_7	5	8	2750771.00	2.01
crane100_7	5	9	2750771.00	2.03
crane100_7	5	10	2750771.00	2.05
crane100_7	8	1	4774311.00	6.35
crane100_7	8	2	4774311.00	6.34
crane100_7	8	3	4774311.00	6.38
crane100_7	8	4	4774311.00	6.35
crane100_7	8	5	4774311.00	6.41
crane100_7	8	6	4774311.00	6.37
crane100_7	8	7	4936953.00	6.40
crane100_7	8	8	4774311.00	6.39
crane100_7	8	9	4936953.00	6.34
crane100_7	8	10	4936953.00	6.28
crane100_8	2	1	1408022.00	1.15
crane100_8	2	2	1408022.00	1.16
crane100_8	2	3	1408022.00	1.15
crane100_8	2	4	1408022.00	1.15
crane100_8	2	5	1408022.00	1.15
crane100_8	2	6	1408022.00	1.15
crane100_8	2	7	1408022.00	1.14
crane100_8	2	8	1408022.00	1.14
crane100_8	2	9	1408022.00	1.14
crane100_8	2	10	1408022.00	1.15
crane100_8	5	1	3403573.00	2.56
crane100_8	5	2	3403573.00	2.58
crane100_8	5	3	3403573.00	2.58
crane100_8	5	4	3403573.00	2.57
crane100_8	5	5	3403573.00	2.53
crane100_8	5	6	3403573.00	2.56
crane100_8	5	7	3403573.00	2.58
crane100_8	5	8	3403573.00	2.56
crane100_8	5	9	3469142.00	2.52
crane100_8	5	10	3403573.00	2.55
crane100_8	8	1	5024212.00	7.99
crane100_8	8	2	5024212.00	7.90
crane100_8	8	3	4913055.00	7.88
crane100_8	8	4	5024212.00	7.87
crane100_8	8	5	5071528.00	7.83
crane100_8	8	6	4965019.00	7.89
crane100_8	8	7	5046034.00	7.85
crane100_8	8	8	4913055.00	7.77
crane100_8	8	9	5024212.00	7.90
crane100_8	8	10	5024212.00	7.86
crane100_9	2	1	1331873.00	1.16
crane100_9	2	2	1331873.00	1.16
crane100_9	2	3	1331873.00	1.15
crane100_9	2	4	1387086.00	1.19
crane100_9	2	5	1331873.00	1.15
crane100_9	2	6	1387086.00	1.19
crane100_9	2	7	1387086.00	1.16
crane100_9	2	8	1358784.00	1.16
crane100_9	2	9	1387086.00	1.16
crane100_9	2	10	1387086.00	1.17
crane100_9	5	1	3011135.00	2.31
crane100_9	5	2	3027665.00	2.28
crane100_9	5	3	3009734.00	2.28
crane100_9	5	4	3022027.00	2.25
crane100_9	5	5	3007142.00	2.29
crane100_9	5	6	3007270.00	2.30
crane100_9	5	7	3027665.00	2.26
crane100_9	5	8	3027665.00	2.28
crane100_9	5	9	3011135.00	2.30
crane100_9	5	10	2959683.00	2.28
crane100_9	8	1	4785291.00	5.51
crane100_9	8	2	4699243.00	5.59
crane100_9	8	3	4785291.00	5.62
crane100_9	8	4	4915273.00	5.63
crane100_9	8	5	4785291.00	5.58
crane100_9	8	6	4778758.00	5.72
crane100_9	8	7	4785291.00	5.57
crane100_9	8	8	4756674.00	5.62
crane100_9	8	9	4785291.00	5.58
crane100_9	8	10	4791872.00	5.54
crane316_10	2	1	1926847.00	34.05
crane316_10	2	2	1954371.00	33.86
crane316_10	2	3	1954371.00	33.93
crane316_10	2	4	1912754.00	33.64
crane316_10	2	5	1954371.00	33.99
crane316_10	2	6	1954371.00	34.05
crane316_10	2	7	1912754.00	34.03
crane316_10	2	8	1954371.00	34.29
crane316_10	2	9	1954371.00	33.93
crane316_10	2	10	1912754.00	33.91
crane316_10	5	1	5138062.00	116.28
crane316_10	5	2	5138062.00	117.65
crane316_10	5	3	5138062.00	117.60
crane316_10	5	4	5144662.00	118.96
crane316_10	5	5	5138062.00	117.48
crane316_10	5	6	5138062.00	117.42
crane316_10	5	7	5144662.00	118.75
crane316_10	5	8	5138062.00	117.23
crane316_10	5	9	5138062.00	117.43
crane316_10	5	10	5144662.00	118.78
crane316_10	8	1	8947809.00	428.07
crane316_10	8	2	8999388.00	457.81
crane316_10	8	3	8947809.00	435.03
crane316_10	8	4	8947809.00	433.62
crane316_10	8	5	8947809.00	436.47
crane316_10	8	6	8622708.00	437.77
crane316_10	8	7	8622708.00	440.46
crane316_10	8	8	8947809.00	436.84
crane316_10	8	9	8687948.00	432.62
crane316_10	8	10	8947809.00	434.05
crane316_11	2	1	2307434.00	29.37
crane316_11	2	2	2234769.00	29.76
crane316_11	2	3	2277537.00	29.02
crane316_11	2	4	2158468.00	29.16
crane316_11	2	5	2278940.00	28.94
crane316_11	2	6	2307434.00	29.41
crane316_11	2	7	2208926.00	29.37
crane316_11	2	8	2276929.00	29.26
crane316_11	2	9	2291394.00	29.12
crane316_11	2	10	2229295.00	28.99
crane316_11	5	1	5520495.00	100.04
crane316_11	5	2	5520495.00	98.80
crane316_11	5	3	5520495.00	99.98
crane316_11	5	4	5364841.00	98.87
