instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
ftv140       8  10    2445.80        37.51         2391.00        57.5050    2.8610    54.7900    2255.0           19.4         OPTIMAL        6.0310              False               2264.0      5.6095
ftv150       2  10    2657.20        42.42         2620.00        77.0800    0.4743    76.3600    2543.0           29.7         OPTIMAL        3.0279              False               2544.0      2.9874
ftv150       5  10    2697.60        16.46         2676.00        89.9030    0.7996    88.8400    2543.0           24.0         OPTIMAL        5.2300              False               2551.0      4.9000
ftv150       8  10    2780.80        13.75         2748.00        86.6840    3.3403    82.8300    2543.0           27.5         OPTIMAL        8.0613              False               2544.0      8.0189
ftv160       2  10    2694.30        24.23         2672.00        95.8560    0.5024    94.7600    2528.0           35.4         OPTIMAL        5.6962              False               2528.0      5.6962
ftv160       5  10    2706.20        44.34         2614.00        119.0580   8.7358    111.8400   2528.0           30.4         OPTIMAL        3.4019              False               2530.0      3.3202
ftv160       8  10    2768.00        22.65         2716.00        97.8500    0.9974    96.7500    2528.0           38.9         OPTIMAL        7.4367              False               2530.0      7.3518
ftv170       2  10    2929.80        25.94         2897.00        124.6600   1.7085    122.5400   2660.0           23.0         OPTIMAL        8.9098              False               2660.0      8.9098
ftv170       5  10    2920.90        16.03         2901.00        152.9960   1.8059    150.7600   2660.0           25.0         OPTIMAL        9.0602              False               2660.0      9.0602
ftv170       8  10    3004.00        18.97         2995.00        136.1060   1.4082    132.9700   2660.0           27.2         OPTIMAL        12.5940             False               2660.0      12.5940
ftv33        2  10    1083.00        0.00          1083.00        0.1680     0.0103    0.1500     1083.0           0.2          OPTIMAL        0.0000              True                1083.0      0.0000
ftv33        5  10    1083.00        0.00          1083.00        0.2070     0.0067    0.1900     1083.0           0.2          OPTIMAL        0.0000              False               1083.0      0.0000
ftv33        8  10    1166.50        7.25          1162.00        0.2800     0.0105    0.2700     1148.0           0.3          OPTIMAL        1.2195              True                1148.0      1.2195
