instance	g	UB		    LB		    best known solution
dc176		8	5715		5564.6		5625
dc188		8	4653		4567.0		4608
code198		8	861		    826.0		842
code253		8	23709		22698.9		23069
td100_1		8	159743		154872.0	157727
td316_10	8	395088		384379.4	387300
crane100_0	2	1539931		1496319.6	1519569
crane100_1	2	1032523		1019049.7	1028512
crane100_2	2	1330918		1292421.6	1318394
crane100_3	2	1383523		1366986.9	1378011
crane100_4	2	1214944		1194492.5	1203034
crane100_5	2	1223983		1200969.2	1211265
crane100_6	2	1026234		1026234.0	1026234
crane100_7	2	1240795		1240795.0	1240795
crane100_8	2	1426185		1394927.4	1408022
crane100_9	2	1268022		1240645.3	1255841
crane316_10	2	1805731		1778497.0	1791756
crane316_11	2	1818963		1796197.4	1806858
crane316_12	2	1968055		1942851.8	1953793
crane316_13	2	1826437		1805304.9	1806208
crane316_14	2	1737346		1712197.7	1722533
crane316_15	2	1986257		1952609.2	1967761
crane316_16	2	1746193		1721472.3	1728733
crane316_17	2	1829052		1806943.5	1812199
crane316_18	2	1680097		1658368.9	1671406
crane316_19	2	1575864		1556432.8	1567089
crane66_0	2	1256251		1216547.4	1252494
crane66_1	2	961865		961865.0	961865
crane66_2	2	1182704		1182704.0	1182704
stilt100_0	2	2511966		2404424.9	2500962
stilt100_1	2	2672450		2514267.4	2645205
stilt100_2	2	2682171		2544412.9	2654301
stilt100_3	2	3361248		3212517.8	3327310
stilt100_4	2	2671643		2581656.6	2662325
stilt100_5	2	2485118		2396973.2	2469070
stilt100_6	2	2752676		2489414.7	2722457
stilt100_7	2	3097931		2908306.7	3088358
stilt100_8	2	2765915		2571575.1	2752703
stilt100_9	2	2529003		2437062.5	2505204
stilt316_10	2	4259818		4152213.2	4186965
stilt316_11	2	4026716		3923222.2	3980542
stilt316_12	2	4092856		3979019.4	4065617
stilt316_13	2	4588059		4420087.9	4515362
stilt316_14	2	3882977		3800042.2	3839590
stilt316_15	2	4354395		4300078.9	4310856
stilt316_16	2	4193972		4069877.8	4136475
stilt316_17	2	4603918		4488809.3	4531862
stilt316_18	2	4459552		4389136.2	4401019
stilt316_19	2	4429139		4215321.7	4390503
crane100_0	5	3164486		3042823.7	3119565
crane100_1	5	2603184		2535898.9	2587916
crane100_2	5	2880373		2803316.9	2843409
crane100_3	5	2791376		2713792.6	2751209
crane100_4	5	2967592		2894933.4	2929798
