instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
crane66_1    8  10    4197913.50     14092.86      4177491.00     1.3290     0.0160    1.3100     3979379.0        10.8         OPTIMAL        4.9785              True                4010020.0   4.1763
crane66_2    2  10    1202324.00     0.00          1202324.00     0.4000     0.0067    0.3900     1182704.0        11.1         OPTIMAL        1.6589              True                1182704.0   1.6589
crane66_2    5  10    2715468.40     5525.76       2713721.00     0.7490     0.0074    0.7400     2565899.0        12.3         OPTIMAL        5.7610              True                2568208.0   5.6659
crane66_2    8  10    4383599.40     15377.74      4346896.00     1.6230     0.0430    1.5200     4124869.0        10.2         OPTIMAL        5.3826              True                4183029.0   3.9174
dc112        2  10    3993.00        0.00          3993.00        4.6140     0.0135    4.5900     3993.0           2.4          OPTIMAL        0.0000              False               3993.0      0.0000
dc112        5  10    4242.00        0.00          4242.00        7.0560     0.0640    6.9700     4242.0           18.2         OPTIMAL        0.0000              True                4242.0      0.0000
dc112        8  10    6584.90        3.48          6575.00        12.7660    0.4270    11.8200    6501.0           95.0         OPTIMAL        1.1383              True                6501.0      1.1383
dc126        2  10    6204.00        0.00          6204.00        2.5980     0.0187    2.5600     6204.0           1.2          OPTIMAL        0.0000              False               6281.0      -1.2259
dc126        5  10    14600.10       96.77         14371.00       4.6610     0.1484    4.5200     12595.0          35.7         OPTIMAL        14.1008             True                12752.0     12.6960
dc126        8  10    59042.30       38.90         59030.00       19.8330    0.3905    19.5400    50597.0          235.2        OPTIMAL        16.6670             True                51239.0     15.2052
dc134        2  10    3743.00        0.00          3743.00        16.8860    0.0746    16.8100    3743.0           12.8         OPTIMAL        0.0000              False               3743.0      0.0000
dc134        5  10    3743.00        0.00          3743.00        14.2570    0.0904    14.0900    3743.0           11.4         OPTIMAL        0.0000              False               3743.0      0.0000
dc134        8  10    3807.00        0.00          3807.00        16.8470    0.3770    16.1800    3807.0           23.0         OPTIMAL        0.0000              True                3821.0      -0.3664
dc176        2  10    5496.00        0.00          5496.00        46.9410    0.6053    46.3400    5495.0           137.8        OPTIMAL        0.0182              True                5561.0      -1.1689
dc176        5  10    5495.00        0.00          5495.00        46.2240    0.2225    46.0400    5495.0           111.6        OPTIMAL        0.0000              True                5561.0      -1.1868
dc176        8  10    5625.20        0.42          5625.00        81.5650    0.9156    80.4100    5625.0           71.6         OPTIMAL        0.0000              False               5715.0      -1.5748
dc188        2  10    4562.00        0.00          4562.00        89.7490    3.1501    86.2600    4562.0           51.0         OPTIMAL        0.0000              False               4599.0      -0.8045
dc188        5  10    4562.00        0.00          4562.00        74.9230    2.3308    71.7800    4562.0           36.3         OPTIMAL        0.0000              False               4599.0      -0.8045
dc188        8  10    4608.00        0.00          4608.00        96.7180    1.3021    95.5900    4608.0           90.8         OPTIMAL        0.0000              False               4653.0      -0.9671
ft53         2  10    3063.40        28.67         3009.00        0.2210     0.0032    0.2200     2990.0           1.8          OPTIMAL        0.6355              True                3026.0      -0.5618
ft53         5  10    3725.20        12.41         3698.00        0.4130     0.0048    0.4100     3667.0           3.3          OPTIMAL        0.8454              True                3721.0      -0.6181
ft53         8  10    4977.40        39.21         4965.00        1.1630     0.1297    1.1100     4936.0           3.2          OPTIMAL        0.5875              True                4959.0      0.1210
ft70         2  10    8192.40        7.41          8188.00        0.2400     0.0082    0.2300     8161.0           2.4          OPTIMAL        0.3308              True                15909.0     -48.5323
ft70         5  10    16257.20       74.74         16200.00       0.8280     0.0525    0.7900     15699.0          5.9          OPTIMAL        3.1913              True                25609.0     -36.7410
ft70         8  10    25863.00       0.00          25863.00       2.3200     0.0205    2.3000     25195.0          4.9          OPTIMAL        2.6513              True                25488.0     1.4713
ftv100       2  10    1791.20        21.73         1761.00        17.5250    0.0638    17.4500    1669.0           8.3          OPTIMAL        5.5123              False               1669.0      5.5123
ftv100       5  10    1808.70        21.21         1761.00        18.0980    0.0722    17.9800    1669.0           7.9          OPTIMAL        5.5123              False               1669.0      5.5123
ftv100       8  10    1752.30        56.84         1717.00        19.0800    0.2378    18.8000    1669.0           6.7          OPTIMAL        2.8760              False               1669.0      2.8760
ftv110       2  10    2184.00        0.00          2184.00        16.6370    0.1494    16.3600    1892.0           16.0         OPTIMAL        15.4334             False               1893.0      15.3724
ftv110       5  10    1986.00        0.00          1986.00        19.0650    0.1196    18.8500    1892.0           13.2         OPTIMAL        4.9683              False               1893.0      4.9128
ftv110       8  10    1979.60        7.60          1971.00        25.8880    0.8777    24.7400    1892.0           13.3         OPTIMAL        4.1755              False               1893.0      4.1204
ftv120       2  10    2123.70        2.83          2117.00        33.0070    0.2521    32.6000    1950.0           9.9          OPTIMAL        8.5641              False               1950.0      8.5641
ftv120       5  10    2024.60        0.84          2023.00        35.9700    0.1003    35.8100    1950.0           10.1         OPTIMAL        3.7436              False               1950.0      3.7436
ftv120       8  10    2040.30        20.75         2025.00        34.0620    0.1916    33.7300    1950.0           8.9          OPTIMAL        3.8462              False               1950.0      3.8462
ftv130       2  10    2462.70        0.95          2460.00        31.7190    0.1884    31.3500    2160.0           16.9         OPTIMAL        13.8889             False               2161.0      13.8362
ftv130       5  10    2264.50        31.57         2245.00        40.0610    0.1151    39.8800    2160.0           13.3         OPTIMAL        3.9352              False               2161.0      3.8871
ftv130       8  10    2409.50        1.58          2405.00        43.3590    0.3002    42.6200    2160.0           15.9         OPTIMAL        11.3426             False               2165.0      11.0855
ftv140       2  10    2461.00        0.00          2461.00        49.6220    0.2166    49.2000    2255.0           26.5         OPTIMAL        9.1353              False               2257.0      9.0385
ftv140       5  10    2361.00        5.16          2355.00        62.7800    0.2671    62.2600    2255.0           28.0         OPTIMAL        4.4346              False               2264.0      4.0194
ftv140       8  10    2487.20        16.42         2477.00        63.4090    0.3983    62.7800    2255.0           19.4         OPTIMAL        9.8448              False               2264.0      9.4081
ftv150       2  10    2845.60        9.23          2830.00        76.4100    6.7798    71.9200    2543.0           29.7         OPTIMAL        11.2859             False               2544.0      11.2421
ftv150       5  10    2816.60        7.55          2798.00        99.9120    17.3730   66.9200    2543.0           24.0         OPTIMAL        10.0275             False               2551.0      9.6825
ftv150       8  10    2725.70        7.44          2709.00        82.5920    0.3864    81.9000    2543.0           27.5         OPTIMAL        6.5277              False               2544.0      6.4858
ftv160       2  10    2740.00        12.11         2726.00        90.3040    0.3925    89.8300    2528.0           35.4         OPTIMAL        7.8323              False               2528.0      7.8323
ftv160       5  10    2762.10        11.89         2730.00        94.1740    0.4406    93.2500    2528.0           30.4         OPTIMAL        7.9905              False               2530.0      7.9051
ftv160       8  10    2839.60        1.26          2836.00        93.0290    0.5439    91.9000    2528.0           38.9         OPTIMAL        12.1835             False               2530.0      12.0949
ftv170       2  10    3059.20        42.72         2952.00        106.5110   0.5365    105.9100   2660.0           23.0         OPTIMAL        10.9774             False               2660.0      10.9774
ftv170       5  10    2793.00        0.00          2793.00        112.8830   1.5219    110.3200   2660.0           25.0         OPTIMAL        5.0000              False               2660.0      5.0000
ftv170       8  10    2992.20        28.05         2947.00        153.4050   9.0078    143.9500   2660.0           27.2         OPTIMAL        10.7895             False               2660.0      10.7895
ftv33        2  10    1092.00        0.00          1092.00        0.1330     0.0067    0.1300     1083.0           0.2          OPTIMAL        0.8310              True                1083.0      0.8310
ftv33        5  10    1083.00        0.00          1083.00        0.1970     0.0048    0.1900     1083.0           0.2          OPTIMAL        0.0000              True                1083.0      0.0000
ftv33        8  10    1248.00        0.00          1248.00        0.2170     0.0067    0.2100     1148.0           0.3          OPTIMAL        8.7108              True                1148.0      8.7108
ftv35        2  10    1166.00        0.00          1166.00        0.1440     0.0070    0.1400     1161.0           0.3          OPTIMAL        0.4307              True                1161.0      0.4307
ftv35        5  10    1166.00        0.00          1166.00        0.2180     0.0042    0.2100     1161.0           0.3          OPTIMAL        0.4307              True                1165.0      0.0858
ftv35        8  10    1239.00        0.00          1239.00        0.3310     0.0032    0.3300     1189.0           0.6          OPTIMAL        4.2052              True                1189.0      4.2052
ftv38        2  10    1234.00        0.00          1234.00        0.2960     0.0052    0.2900     1185.0           0.6          OPTIMAL        4.1350              True                1185.0      4.1350
ftv38        5  10    1234.10        0.32          1234.00        0.3420     0.0063    0.3400     1185.0           0.5          OPTIMAL        4.1350              True                1185.0      4.1350
ftv38        8  10    1219.00        0.00          1219.00        0.5360     0.0052    0.5300     1219.0           0.6          OPTIMAL        0.0000              True                1225.0      -0.4898
ftv44        2  10    1274.00        0.00          1274.00        0.3900     0.0067    0.3800     1269.0           0.8          OPTIMAL        0.3940              True                1269.0      0.3940
ftv44        5  10    1269.00        0.00          1269.00        0.6530     0.0067    0.6400     1269.0           0.9          OPTIMAL        0.0000              True                1269.0      0.0000
ftv44        8  10    1339.00        0.00          1339.00        0.7570     0.0082    0.7500     1312.0           1.3          OPTIMAL        2.0579              True                1312.0      2.0579
ftv47        2  10    1480.00        0.00          1480.00        0.3770     0.0067    0.3700     1410.0           0.8          OPTIMAL        4.9645              True                1410.0      4.9645
ftv47        5  10    1424.80        0.63          1423.00        0.5380     0.0042    0.5300     1410.0           0.8          OPTIMAL        0.9220              True                1410.0      0.9220
ftv47        8  10    1454.00        0.00          1454.00        0.8060     0.0107    0.7900     1449.0           1.2          OPTIMAL        0.3451              True                1450.0      0.2759
ftv55        2  10    1632.00        0.00          1632.00        1.5630     0.0116    1.5500     1553.0           1.7          OPTIMAL        5.0869              True                1553.0      5.0869
ftv55        5  10    1595.40        7.59          1581.00        1.5700     0.0115    1.5400     1553.0           1.7          OPTIMAL        1.8030              True                1555.0      1.6720
ftv55        8  10    1585.90        8.25          1568.00        2.1810     0.0197    2.1400     1553.0           2.0          OPTIMAL        0.9659              False               1554.0      0.9009
