instance	g	run	solution	time
crane316_11	2	9	2238902.00	35.45
crane316_11	2	10	2238902.00	35.32
crane316_11	5	1	5343271.00	106.67
crane316_11	5	2	5343271.00	106.66
crane316_11	5	3	5446598.00	106.55
crane316_11	5	4	5343271.00	106.90
crane316_11	5	5	5446598.00	107.41
crane316_11	5	6	5343271.00	105.08
crane316_11	5	7	5446598.00	107.19
crane316_11	5	8	5446598.00	107.53
crane316_11	5	9	5343271.00	106.69
crane316_11	5	10	5446598.00	106.09
crane316_11	8	1	9092874.00	383.14
crane316_11	8	2	9229027.00	438.60
crane316_11	8	3	9229027.00	438.06
crane316_11	8	4	9092874.00	389.46
crane316_11	8	5	9229027.00	432.59
crane316_11	8	6	9229027.00	432.09
crane316_11	8	7	9092874.00	383.72
crane316_11	8	8	9229027.00	432.44
crane316_11	8	9	9092874.00	390.38
crane316_11	8	10	9229027.00	431.90
crane316_12	2	1	2314983.00	38.62
crane316_12	2	2	2314983.00	38.75
crane316_12	2	3	2349473.00	38.49
crane316_12	2	4	2314983.00	38.39
crane316_12	2	5	2314983.00	38.94
crane316_12	2	6	2314983.00	38.58
crane316_12	2	7	2314983.00	38.69
crane316_12	2	8	2314983.00	38.74
crane316_12	2	9	2314983.00	38.60
crane316_12	2	10	2254835.00	38.83
crane316_12	5	1	5246148.00	119.88
crane316_12	5	2	5246148.00	119.95
crane316_12	5	3	5246148.00	119.57
crane316_12	5	4	5246148.00	119.54
crane316_12	5	5	5246148.00	120.88
crane316_12	5	6	5246148.00	120.61
crane316_12	5	7	5246148.00	121.20
crane316_12	5	8	5246148.00	121.06
crane316_12	5	9	5246148.00	120.98
crane316_12	5	10	5246148.00	120.74
crane316_12	8	1	8680291.00	392.65
crane316_12	8	2	8551390.00	386.53
crane316_12	8	3	8680291.00	391.67
crane316_12	8	4	8789587.00	399.60
crane316_12	8	5	8863020.00	422.11
crane316_12	8	6	8680291.00	398.16
crane316_12	8	7	8789587.00	398.87
crane316_12	8	8	8863020.00	412.11
crane316_12	8	9	8680291.00	397.73
crane316_12	8	10	8680291.00	395.33
crane316_13	2	1	2156080.00	38.53
crane316_13	2	2	2156080.00	38.59
crane316_13	2	3	2156080.00	38.23
crane316_13	2	4	2156080.00	38.80
crane316_13	2	5	2156080.00	38.35
crane316_13	2	6	2112791.00	38.52
crane316_13	2	7	2156080.00	38.60
crane316_13	2	8	2156080.00	38.45
crane316_13	2	9	2147663.00	38.68
crane316_13	2	10	2156080.00	38.46
crane316_13	5	1	5189751.00	101.98
crane316_13	5	2	5189751.00	102.88
crane316_13	5	3	5189751.00	102.36
crane316_13	5	4	5189751.00	103.04
crane316_13	5	5	5189751.00	103.00
crane316_13	5	6	5189751.00	101.56
crane316_13	5	7	5189751.00	102.68
crane316_13	5	8	5189751.00	103.27
crane316_13	5	9	5189751.00	103.28
crane316_13	5	10	5189751.00	101.69
crane316_13	8	1	8531538.00	399.91
crane316_13	8	2	8291598.00	401.38
crane316_13	8	3	8545231.00	402.56
crane316_13	8	4	8572972.00	422.69
crane316_13	8	5	8291598.00	405.25
crane316_13	8	6	8594334.00	412.03
crane316_13	8	7	8531538.00	399.34
crane316_13	8	8	8291598.00	406.11
crane316_13	8	9	8594334.00	413.34
crane316_13	8	10	8522936.00	409.86
crane316_14	2	1	2058237.00	39.15
crane316_14	2	2	2058237.00	39.03
crane316_14	2	3	2058237.00	39.19
crane316_14	2	4	2058237.00	39.44
crane316_14	2	5	2045492.00	39.29
crane316_14	2	6	2058237.00	39.14
crane316_14	2	7	2034024.00	39.35
crane316_14	2	8	2058237.00	39.43
crane316_14	2	9	2058237.00	39.26
crane316_14	2	10	2058237.00	39.41
crane316_14	5	1	4940162.00	122.39
crane316_14	5	2	5028401.00	125.07
crane316_14	5	3	4980486.00	125.71
crane316_14	5	4	5021354.00	125.21
crane316_14	5	5	5001263.00	123.86
crane316_14	5	6	5028401.00	124.53
crane316_14	5	7	4980486.00	126.24
crane316_14	5	8	5028401.00	124.79
crane316_14	5	9	4980486.00	124.66
crane316_14	5	10	5028401.00	124.37
crane316_14	8	1	8581646.00	433.91
crane316_14	8	2	8581646.00	418.26
crane316_14	8	3	8414837.00	416.38
crane316_14	8	4	8623190.00	415.13
crane316_14	8	5	8552066.00	415.30
crane316_14	8	6	8581646.00	414.54
crane316_14	8	7	8581646.00	416.15
crane316_14	8	8	8581646.00	419.08
crane316_14	8	9	8581646.00	416.14
crane316_14	8	10	8619697.00	426.11
crane316_15	2	1	2407927.00	38.08
crane316_15	2	2	2330169.00	38.62
crane316_15	2	3	2346954.00	38.33
crane316_15	2	4	2346954.00	38.27
crane316_15	2	5	2330169.00	38.18
crane316_15	2	6	2346954.00	38.25
crane316_15	2	7	2330169.00	38.85
crane316_15	2	8	2330169.00	38.40
crane316_15	2	9	2330169.00	38.46
crane316_15	2	10	2330169.00	38.48
crane316_15	5	1	5691651.00	119.93
crane316_15	5	2	5688591.00	118.55
crane316_15	5	3	5666952.00	119.08
crane316_15	5	4	5691651.00	118.57
crane316_15	5	5	5519000.00	118.16
crane316_15	5	6	5691651.00	118.39
crane316_15	5	7	5691651.00	120.35
crane316_15	5	8	5691651.00	120.29
crane316_15	5	9	5688591.00	119.48
crane316_15	5	10	5595870.00	117.61
crane316_15	8	1	9223932.00	531.62
crane316_15	8	2	9223932.00	526.16
crane316_15	8	3	9317833.00	528.57
crane316_15	8	4	9223932.00	532.58
crane316_15	8	5	9311906.00	471.49
crane316_15	8	6	9317833.00	526.67
crane316_15	8	7	9223932.00	528.78
crane316_15	8	8	9223932.00	529.59
crane316_15	8	9	9223932.00	533.29
crane316_15	8	10	9223932.00	525.54
crane316_16	2	1	2320530.00	41.36
crane316_16	2	2	2325705.00	41.37
crane316_16	2	3	2275208.00	41.63
crane316_16	2	4	2320530.00	41.06
crane316_16	2	5	2320530.00	41.10
crane316_16	2	6	2320530.00	41.07
crane316_16	2	7	2320530.00	41.57
crane316_16	2	8	2233625.00	41.38
crane316_16	2	9	2311692.00	40.83
crane316_16	2	10	2320530.00	40.98
crane316_16	5	1	5501676.00	116.57
crane316_16	5	2	5501676.00	115.51
crane316_16	5	3	5501676.00	116.60
crane316_16	5	4	5501676.00	118.55
crane316_16	5	5	5501676.00	117.73
crane316_16	5	6	5501676.00	116.24
crane316_16	5	7	5501676.00	116.68
crane316_16	5	8	5501676.00	118.39
crane316_16	5	9	5501676.00	118.27
crane316_16	5	10	5501676.00	117.23
crane316_16	8	1	8985233.00	425.79
crane316_16	8	2	8855575.00	402.70
crane316_16	8	3	8985233.00	426.69
crane316_16	8	4	8985233.00	430.20
crane316_16	8	5	8855575.00	410.30
crane316_16	8	6	8855575.00	403.36
crane316_16	8	7	8855575.00	405.99
crane316_16	8	8	8855575.00	403.28
crane316_16	8	9	8855575.00	406.71
crane316_16	8	10	8985233.00	425.20
crane316_17	2	1	2300606.00	38.41
crane316_17	2	2	2349895.00	37.98
crane316_17	2	3	2349895.00	38.24
crane316_17	2	4	2300606.00	38.36
crane316_17	2	5	2300606.00	38.56
crane316_17	2	6	2300606.00	38.32
crane316_17	2	7	2349895.00	38.39
crane316_17	2	8	2240159.00	37.70
crane316_17	2	9	2375807.00	37.90
crane316_17	2	10	2309214.00	37.67
crane316_17	5	1	5808244.00	109.68
crane316_17	5	2	5808244.00	110.24
crane316_17	5	3	5808244.00	110.15
crane316_17	5	4	5808244.00	110.37
crane316_17	5	5	5808244.00	110.14
crane316_17	5	6	5808244.00	110.05
