instance	g	run	solution	time	status
crane100_4	2	7	1185142.00	5.61	OK
crane100_4	2	8	1185142.00	5.67	OK
crane100_4	2	9	1185142.00	5.49	OK
crane100_4	2	10	1185142.00	5.64	OK
crane100_4	5	1	3124013.00	10.19	OK
crane100_4	5	2	3131677.00	10.41	OK
crane100_4	5	3	3124013.00	10.23	OK
crane100_4	5	4	3124013.00	10.28	OK
crane100_4	5	5	3124013.00	10.22	OK
crane100_4	5	6	3124013.00	10.21	OK
crane100_4	5	7	3124013.00	10.22	OK
crane100_4	5	8	3124013.00	10.21	OK
crane100_4	5	9	3124013.00	10.45	OK
crane100_4	5	10	3124013.00	10.15	OK
crane100_4	8	1	5385236.00	26.53	OK
crane100_4	8	2	5385236.00	26.56	OK
crane100_4	8	3	5385236.00	26.64	OK
crane100_4	8	4	5385236.00	26.36	OK
crane100_4	8	5	5383226.00	26.48	OK
crane100_4	8	6	5385236.00	26.62	OK
crane100_4	8	7	5385236.00	28.55	OK
crane100_4	8	8	5385236.00	30.70	OK
crane100_4	8	9	5385236.00	30.67	OK
crane100_4	8	10	5385236.00	26.59	OK
crane100_5	2	1	1361295.00	6.96	OK
crane100_5	2	2	1361295.00	6.90	OK
crane100_5	2	3	1361295.00	6.95	OK
crane100_5	2	4	1361295.00	6.91	OK
crane100_5	2	5	1361295.00	6.96	OK
crane100_5	2	6	1361295.00	7.02	OK
crane100_5	2	7	1378391.00	6.84	OK
crane100_5	2	8	1361295.00	7.04	OK
crane100_5	2	9	1361295.00	6.89	OK
crane100_5	2	10	1361295.00	6.95	OK
crane100_5	5	1	3196254.00	13.06	OK
crane100_5	5	2	3196254.00	13.26	OK
crane100_5	5	3	3196254.00	13.09	OK
crane100_5	5	4	3149266.00	13.05	OK
crane100_5	5	5	3196254.00	13.05	OK
crane100_5	5	6	3196254.00	13.08	OK
crane100_5	5	7	3196254.00	13.15	OK
crane100_5	5	8	3196254.00	13.03	OK
crane100_5	5	9	3196254.00	13.22	OK
crane100_5	5	10	3123771.00	13.30	OK
crane100_5	8	1	5811347.00	29.62	OK
crane100_5	8	2	5811347.00	29.40	OK
crane100_5	8	3	5811347.00	29.49	OK
crane100_5	8	4	5811347.00	29.52	OK
crane100_5	8	5	5811347.00	29.47	OK
crane100_5	8	6	5811347.00	29.32	OK
crane100_5	8	7	5811347.00	29.43	OK
crane100_5	8	8	5811347.00	29.51	OK
crane100_5	8	9	5811347.00	29.62	OK
crane100_5	8	10	5811347.00	29.83	OK
crane100_6	2	1	1026234.00	5.53	OK
crane100_6	2	2	1026234.00	5.59	OK
crane100_6	2	3	1026234.00	5.52	OK
crane100_6	2	4	1026234.00	5.70	OK
crane100_6	2	5	1026234.00	5.61	OK
crane100_6	2	6	1026234.00	5.60	OK
crane100_6	2	7	1026234.00	5.55	OK
crane100_6	2	8	1026234.00	5.65	OK
crane100_6	2	9	1026234.00	5.52	OK
crane100_6	2	10	1026234.00	5.55	OK
crane100_6	5	1	2527399.00	11.34	OK
crane100_6	5	2	2523157.00	11.34	OK
crane100_6	5	3	2523157.00	11.28	OK
crane100_6	5	4	2489934.00	11.25	OK
crane100_6	5	5	2523157.00	11.20	OK
crane100_6	5	6	2523157.00	11.22	OK
crane100_6	5	7	2472668.00	11.40	OK
crane100_6	5	8	2472668.00	11.37	OK
crane100_6	5	9	2472668.00	11.29	OK
crane100_6	5	10	2472668.00	11.33	OK
crane100_6	8	1	4628477.00	25.72	OK
crane100_6	8	2	4628477.00	25.80	OK
crane100_6	8	3	4628477.00	25.68	OK
crane100_6	8	4	4628477.00	25.35	OK
crane100_6	8	5	4628477.00	25.72	OK
crane100_6	8	6	4628477.00	25.58	OK
crane100_6	8	7	4628477.00	25.75	OK
crane100_6	8	8	4628477.00	25.61	OK
crane100_6	8	9	4628477.00	25.81	OK
crane100_6	8	10	4628477.00	25.61	OK
crane100_7	2	1	1397662.00	5.89	OK
crane100_7	2	2	1397662.00	5.85	OK
crane100_7	2	3	1397662.00	5.86	OK
crane100_7	2	4	1397662.00	5.99	OK
crane100_7	2	5	1397662.00	5.93	OK
crane100_7	2	6	1388279.00	5.85	OK
crane100_7	2	7	1397662.00	5.85	OK
crane100_7	2	8	1397662.00	5.83	OK
crane100_7	2	9	1397662.00	5.87	OK
crane100_7	2	10	1397662.00	5.84	OK
crane100_7	5	1	2858676.00	11.00	OK
crane100_7	5	2	2858676.00	10.95	OK
crane100_7	5	3	2840131.00	10.83	OK
crane100_7	5	4	2858676.00	10.89	OK
crane100_7	5	5	2858676.00	10.87	OK
crane100_7	5	6	2858676.00	10.87	OK
crane100_7	5	7	2858676.00	11.01	OK
crane100_7	5	8	2858676.00	10.95	OK
crane100_7	5	9	2858676.00	10.87	OK
crane100_7	5	10	2858676.00	10.85	OK
crane100_7	8	1	4856474.00	23.84	OK
crane100_7	8	2	4856474.00	23.59	OK
crane100_7	8	3	4856474.00	23.69	OK
crane100_7	8	4	4856474.00	23.58	OK
crane100_7	8	5	4856474.00	23.60	OK
crane100_7	8	6	4856474.00	23.51	OK
crane100_7	8	7	4784945.00	24.09	OK
crane100_7	8	8	4856474.00	23.70	OK
crane100_7	8	9	4856474.00	23.61	OK
crane100_7	8	10	4856474.00	23.81	OK
crane100_8	2	1	1565953.00	5.86	OK
crane100_8	2	2	1565953.00	5.78	OK
crane100_8	2	3	1565953.00	5.85	OK
crane100_8	2	4	1517869.00	5.75	OK
crane100_8	2	5	1565953.00	5.80	OK
crane100_8	2	6	1565953.00	5.73	OK
crane100_8	2	7	1565953.00	5.82	OK
crane100_8	2	8	1565953.00	5.74	OK
crane100_8	2	9	1565953.00	5.75	OK
crane100_8	2	10	1565953.00	5.76	OK
crane100_8	5	1	3207449.00	11.10	OK
crane100_8	5	2	3247908.00	11.09	OK
crane100_8	5	3	3188001.00	11.47	OK
crane100_8	5	4	3247908.00	11.08	OK
crane100_8	5	5	3188001.00	11.43	OK
crane100_8	5	6	3188001.00	11.52	OK
crane100_8	5	7	3247908.00	11.09	OK
crane100_8	5	8	3188001.00	11.43	OK
crane100_8	5	9	3207449.00	11.20	OK
crane100_8	5	10	3188001.00	11.38	OK
crane100_8	8	1	5327400.00	28.24	OK
crane100_8	8	2	5346059.00	28.69	OK
crane100_8	8	3	5346059.00	28.84	OK
crane100_8	8	4	5346059.00	28.73	OK
crane100_8	8	5	5346059.00	28.67	OK
crane100_8	8	6	5327400.00	28.09	OK
crane100_8	8	7	5346059.00	28.70	OK
crane100_8	8	8	5327400.00	28.21	OK
crane100_8	8	9	5346059.00	28.51	OK
crane100_8	8	10	5327400.00	28.41	OK
crane100_9	2	1	1338360.00	5.94	OK
crane100_9	2	2	1380692.00	5.94	OK
crane100_9	2	3	1380692.00	5.93	OK
crane100_9	2	4	1338360.00	5.94	OK
crane100_9	2	5	1380692.00	5.94	OK
crane100_9	2	6	1338360.00	5.99	OK
crane100_9	2	7	1380692.00	5.95	OK
crane100_9	2	8	1380692.00	5.94	OK
crane100_9	2	9	1380692.00	5.93	OK
crane100_9	2	10	1380692.00	5.95	OK
crane100_9	5	1	3014990.00	10.38	OK
crane100_9	5	2	3000930.00	10.51	OK
crane100_9	5	3	3000930.00	10.43	OK
crane100_9	5	4	3000930.00	10.69	OK
crane100_9	5	5	3000930.00	10.50	OK
crane100_9	5	6	3000930.00	10.51	OK
crane100_9	5	7	3000930.00	10.51	OK
crane100_9	5	8	3000930.00	10.44	OK
crane100_9	5	9	3000930.00	10.53	OK
crane100_9	5	10	3000930.00	10.42	OK
crane100_9	8	1	4735258.00	23.16	OK
crane100_9	8	2	4735258.00	23.64	OK
crane100_9	8	3	4735258.00	23.32	OK
crane100_9	8	4	4735258.00	23.27	OK
crane100_9	8	5	4760141.00	23.13	OK
crane100_9	8	6	4760141.00	23.14	OK
crane100_9	8	7	4735258.00	23.17	OK
crane100_9	8	8	4735258.00	23.08	OK
crane100_9	8	9	4735258.00	23.33	OK
crane100_9	8	10	4735258.00	23.54	OK
crane316_10	2	1	2058530.00	173.32	OK
crane316_10	2	2	2058530.00	176.24	OK
crane316_10	2	3	2058530.00	173.76	OK
crane316_10	2	4	2058530.00	174.23	OK
crane316_10	2	5	2058530.00	174.63	OK
crane316_10	2	6	2058530.00	173.07	OK
crane316_10	2	7	2058530.00	173.34	OK
crane316_10	2	8	2058530.00	172.15	OK
crane316_10	2	9	2058530.00	173.90	OK
crane316_10	2	10	2058530.00	173.21	OK
crane316_10	5	1	5287831.00	456.19	OK
crane316_10	5	2	5330806.00	449.34	OK
crane316_10	5	3	5323620.00	451.39	OK
crane316_10	5	4	5323620.00	448.17	OK
crane316_10	5	5	5330806.00	450.28	OK
crane316_10	5	6	5287831.00	457.57	OK
crane316_10	5	7	5288540.00	448.57	OK
crane316_10	5	8	5287831.00	460.74	OK
crane316_10	5	9	5330806.00	449.39	OK
crane316_10	5	10	5287831.00	458.49	OK
crane316_10	8	1	9210380.00	1610.31	OK
crane316_10	8	2	9210380.00	1616.84	OK
crane316_10	8	3	9210380.00	1608.54	OK
crane316_10	8	4	9210380.00	1616.57	OK
crane316_10	8	5	9210380.00	1608.66	OK
crane316_10	8	6	9210380.00	1618.02	OK
crane316_10	8	7	9210380.00	1608.75	OK
crane316_10	8	8	9210380.00	1609.89	OK
crane316_10	8	9	9210380.00	1600.26	OK
crane316_10	8	10	9210380.00	1606.92	OK
crane316_11	2	1	2243169.00	147.49	OK
crane316_11	2	2	2314978.00	143.53	OK
crane316_11	2	3	2243169.00	146.88	OK
crane316_11	2	4	2243169.00	146.04	OK
crane316_11	2	5	2243169.00	146.52	OK
crane316_11	2	6	2243169.00	146.51	OK
crane316_11	2	7	2243169.00	147.44	OK
crane316_11	2	8	2243169.00	146.60	OK
crane316_11	2	9	2243169.00	146.78	OK
crane316_11	2	10	2243169.00	146.55	OK
crane316_11	5	1	5303814.00	453.21	OK
crane316_11	5	2	5303814.00	455.84	OK
crane316_11	5	3	5303814.00	452.65	OK
crane316_11	5	4	5303814.00	453.54	OK
crane316_11	5	5	5303814.00	453.23	OK
crane316_11	5	6	5303814.00	453.03	OK
crane316_11	5	7	5303814.00	455.73	OK
crane316_11	5	8	5303814.00	454.45	OK
crane316_11	5	9	5303814.00	455.09	OK
crane316_11	5	10	5303814.00	455.40	OK
crane316_11	8	1	9185319.00	1588.38	OK
crane316_11	8	2	9185319.00	1586.17	OK
crane316_11	8	3	9185319.00	1592.37	OK
crane316_11	8	4	9185319.00	1606.71	OK
crane316_11	8	5	9314132.00	1586.20	OK
crane316_11	8	6	9185319.00	1596.69	OK
crane316_11	8	7	9185319.00	1586.72	OK
crane316_11	8	8	9185319.00	1605.66	OK
crane316_11	8	9	9185319.00	1596.18	OK
crane316_11	8	10	9185319.00	1588.57	OK
crane316_12	2	1	2203105.00	158.96	OK
crane316_12	2	2	2203105.00	162.23	OK
crane316_12	2	3	2203105.00	161.72	OK
crane316_12	2	4	2203105.00	160.47	OK
crane316_12	2	5	2203105.00	159.55	OK
crane316_12	2	6	2203105.00	159.31	OK
crane316_12	2	7	2203105.00	159.22	OK
crane316_12	2	8	2203105.00	159.67	OK
crane316_12	2	9	2203105.00	157.98	OK
crane316_12	2	10	2203105.00	158.79	OK
crane316_12	5	1	5298647.00	509.17	OK
crane316_12	5	2	5298647.00	508.75	OK
crane316_12	5	3	5298647.00	507.71	OK
crane316_12	5	4	5298647.00	509.25	OK
crane316_12	5	5	5298647.00	507.77	OK
crane316_12	5	6	5298647.00	508.38	OK
crane316_12	5	7	5298647.00	509.72	OK
crane316_12	5	8	5298647.00	509.43	OK
crane316_12	5	9	5298647.00	508.37	OK
crane316_12	5	10	5298647.00	514.41	OK
crane316_12	8	1	8727751.00	1595.49	OK
crane316_12	8	2	8727751.00	1596.38	OK
crane316_12	8	3	8727751.00	1585.56	OK
crane316_12	8	4	8727751.00	1587.78	OK
crane316_12	8	5	8727751.00	1595.23	OK
crane316_12	8	6	8727751.00	1595.26	OK
crane316_12	8	7	8727751.00	1588.58	OK
crane316_12	8	8	8727751.00	1590.01	OK
crane316_12	8	9	8727751.00	1584.16	OK
crane316_12	8	10	8727751.00	1588.38	OK
crane316_13	2	1	1992175.00	168.06	OK
crane316_13	2	2	1992175.00	168.85	OK
crane316_13	2	3	1992175.00	168.24	OK
crane316_13	2	4	1992175.00	168.03	OK
crane316_13	2	5	1992175.00	166.98	OK
crane316_13	2	6	1992175.00	167.25	OK
crane316_13	2	7	1992175.00	168.95	OK
crane316_13	2	8	1992175.00	170.28	OK
crane316_13	2	9	1992175.00	168.60	OK
crane316_13	2	10	1992175.00	168.54	OK
crane316_13	5	1	5130066.00	435.63	OK
crane316_13	5	2	5130066.00	430.71	OK
crane316_13	5	3	5130066.00	430.72	OK
crane316_13	5	4	5130066.00	433.15	OK
crane316_13	5	5	5130066.00	434.61	OK
crane316_13	5	6	5130066.00	431.48	OK
crane316_13	5	7	5130066.00	434.80	OK
crane316_13	5	8	5130066.00	435.33	OK
crane316_13	5	9	5130066.00	435.35	OK
crane316_13	5	10	5130066.00	439.46	OK
crane316_13	8	1	8484573.00	1671.70	OK
crane316_13	8	2	8484573.00	1674.41	OK
crane316_13	8	3	8484573.00	1715.80	OK
crane316_13	8	4	8484573.00	1663.56	OK
crane316_13	8	5	8484573.00	1660.27	OK
crane316_13	8	6	8484573.00	1660.87	OK
crane316_13	8	7	8484573.00	1644.01	OK
crane316_13	8	8	8484573.00	1624.87	OK
crane316_13	8	9	8484573.00	1595.85	OK
crane316_13	8	10	8484573.00	1575.40	OK
crane316_14	2	1	2130322.00	155.12	OK
crane316_14	2	2	2104417.00	158.51	OK
crane316_14	2	3	2104417.00	157.41	OK
crane316_14	2	4	2130322.00	159.75	OK
crane316_14	2	5	2019548.00	161.83	OK
