instance	g	run	solution	time
crane100_7	2	5	1336728.00	1.13
crane100_7	2	6	1336728.00	1.14
crane100_7	2	7	1336728.00	1.11
crane100_7	2	8	1336728.00	1.11
crane100_7	2	9	1336728.00	1.11
crane100_7	2	10	1336728.00	1.13
crane100_7	5	1	2754428.00	1.89
crane100_7	5	2	2755415.00	1.87
crane100_7	5	3	2754428.00	1.87
crane100_7	5	4	2755415.00	1.91
crane100_7	5	5	2754428.00	1.89
crane100_7	5	6	2755415.00	1.88
crane100_7	5	7	2754428.00	1.89
crane100_7	5	8	2755415.00	1.88
crane100_7	5	9	2754428.00	1.86
crane100_7	5	10	2754428.00	1.86
crane100_7	8	1	4821095.00	6.06
crane100_7	8	2	4777047.00	6.09
crane100_7	8	3	4829411.00	6.22
crane100_7	8	4	4588833.00	6.19
crane100_7	8	5	4647094.00	6.05
crane100_7	8	6	4777047.00	6.10
crane100_7	8	7	4647094.00	6.08
crane100_7	8	8	4647094.00	5.98
crane100_7	8	9	4777047.00	6.14
crane100_7	8	10	4647094.00	6.09
crane100_8	2	1	1442946.00	0.95
crane100_8	2	2	1442946.00	0.96
crane100_8	2	3	1442946.00	0.94
crane100_8	2	4	1442946.00	0.96
crane100_8	2	5	1442946.00	0.95
crane100_8	2	6	1442946.00	0.93
crane100_8	2	7	1442946.00	0.95
crane100_8	2	8	1442946.00	0.94
crane100_8	2	9	1442946.00	0.94
crane100_8	2	10	1442946.00	0.95
crane100_8	5	1	3433661.00	2.44
crane100_8	5	2	3433661.00	2.41
crane100_8	5	3	3433661.00	2.39
crane100_8	5	4	3433661.00	2.44
crane100_8	5	5	3433661.00	2.39
crane100_8	5	6	3433661.00	2.48
crane100_8	5	7	3433661.00	2.43
crane100_8	5	8	3433661.00	2.46
crane100_8	5	9	3433661.00	2.47
crane100_8	5	10	3433661.00	2.45
crane100_8	8	1	5181073.00	7.18
crane100_8	8	2	5181073.00	7.12
crane100_8	8	3	5181073.00	7.06
crane100_8	8	4	5181073.00	7.21
crane100_8	8	5	5181073.00	7.36
crane100_8	8	6	5181073.00	7.16
crane100_8	8	7	5030581.00	7.12
crane100_8	8	8	5181073.00	7.23
crane100_8	8	9	5181073.00	7.08
crane100_8	8	10	5030581.00	7.15
crane100_9	2	1	1331873.00	0.95
crane100_9	2	2	1331873.00	0.97
crane100_9	2	3	1331873.00	0.98
crane100_9	2	4	1331873.00	0.97
crane100_9	2	5	1331873.00	0.96
crane100_9	2	6	1331873.00	0.97
crane100_9	2	7	1331873.00	0.95
crane100_9	2	8	1331873.00	0.97
crane100_9	2	9	1331873.00	0.96
crane100_9	2	10	1331873.00	0.96
crane100_9	5	1	2939190.00	1.89
crane100_9	5	2	2997909.00	1.91
crane100_9	5	3	2939190.00	1.90
crane100_9	5	4	2939190.00	1.93
crane100_9	5	5	2939190.00	1.92
crane100_9	5	6	2939190.00	1.91
crane100_9	5	7	2939190.00	1.92
crane100_9	5	8	2939190.00	1.89
crane100_9	5	9	2939190.00	1.91
crane100_9	5	10	2939190.00	1.89
crane100_9	8	1	4703389.00	5.33
crane100_9	8	2	4703389.00	5.34
crane100_9	8	3	4703389.00	5.39
crane100_9	8	4	4703389.00	5.35
crane100_9	8	5	4703389.00	5.41
crane100_9	8	6	4703389.00	5.38
crane100_9	8	7	4703389.00	5.34
crane100_9	8	8	4703389.00	5.37
crane100_9	8	9	4703389.00	5.40
crane100_9	8	10	4703389.00	5.35
crane316_10	2	1	1944924.00	33.35
crane316_10	2	2	1944924.00	32.96
crane316_10	2	3	1928193.00	32.63
crane316_10	2	4	1928193.00	32.43
crane316_10	2	5	1937597.00	33.01
crane316_10	2	6	1944924.00	33.08
crane316_10	2	7	1944924.00	33.07
crane316_10	2	8	1944924.00	33.22
crane316_10	2	9	1944924.00	32.98
crane316_10	2	10	1959307.00	33.71
crane316_10	5	1	5228747.00	108.58
crane316_10	5	2	5228747.00	108.30
crane316_10	5	3	5228747.00	108.12
crane316_10	5	4	5156101.00	105.51
crane316_10	5	5	5228747.00	109.30
crane316_10	5	6	5156101.00	107.23
crane316_10	5	7	5156101.00	107.35
crane316_10	5	8	5156101.00	105.17
crane316_10	5	9	5156101.00	106.05
crane316_10	5	10	5228747.00	108.37
crane316_10	8	1	8969672.00	441.69
crane316_10	8	2	8969672.00	445.40
crane316_10	8	3	8817360.00	429.28
crane316_10	8	4	9002720.00	468.58
crane316_10	8	5	8954593.00	445.99
crane316_10	8	6	9002720.00	469.25
