instance	g	runs	mean_solution	std_solution	best_solution	mean_time	std_time	best_time	gurobi_solution	gurobi_time	gurobi_status	gap_gurobi_percent	faster_than_gurobi	UB	gap_UB_percent
crane316_16	5	10	5566911.90	28605.06	5554108.00	495.3930	6.6528	489.1200	4645820.0	3600.3	TIME_LIMIT	19.8263	True	5155626.0	7.9774
crane316_16	8	10	9042203.30	84350.21	8817906.00	1672.1690	19.6026	1629.0500	8032853.0	3600.1	TIME_LIMIT	12.5653	True	8991853.0	0.5600
crane316_17	2	10	2348003.00	14018.38	2308106.00	154.3250	2.6444	151.7400	1812199.0	3600.1	TIME_LIMIT	29.5665	True	1829052.0	28.3727
crane316_17	5	10	5756661.00	73222.54	5687196.00	457.0900	3.9866	450.1000	4642919.9	3144.9	OPTIMAL	23.9879	True	5449079.0	5.6447
crane316_17	8	10	9478168.40	28990.50	9395660.00	1872.5190	30.3025	1836.5500	8392855.0	2557.4	OPTIMAL	12.9314	True	8863450.0	6.9354
crane316_18	2	10	2026667.30	43551.90	1999619.00	145.8510	2.0178	144.1500	1705860.0	3600.1	TIME_LIMIT	18.8062	True	1680097.0	20.6280
crane316_18	5	10	5246865.00	0.00	5246865.00	395.4800	2.5277	392.7100	4241740.0	1434.2	OPTIMAL	23.6961	True	4276098.0	22.7022
crane316_18	8	10	8891600.00	0.00	8891600.00	1702.2610	3.9664	1698.0200	7978220.0	3600.1	TIME_LIMIT	11.4484	True	8267273.0	7.5518
crane316_19	2	10	1935830.80	3665.71	1925398.00	147.8150	0.7142	146.6800	1567088.6	2021.0	OPTIMAL	23.5304	True	1575864.0	22.8425
crane316_19	5	10	5267023.80	35785.50	5202892.00	437.6750	1.2817	435.5900	4272261.0	1866.2	OPTIMAL	23.2842	True	4322582.0	21.8490
crane316_19	8	10	9032617.00	0.00	9032617.00	1474.3950	47.7457	1387.6100	7902226.0	3600.0	TIME_LIMIT	14.3047	True	8236771.0	9.6621
