instance	g	solution	time	status
ftv35	8	1189.0	0.6	OPTIMAL
ftv38	2	1185.0	0.6	OPTIMAL
ftv38	5	1185.0	0.5	OPTIMAL
ftv38	8	1219.0	0.5	OPTIMAL
ftv44	2	1269.0	0.8	OPTIMAL
ftv44	5	1269.0	0.8	OPTIMAL
ftv44	8	1312.0	1.3	OPTIMAL
ftv47	2	1410.0	0.7	OPTIMAL
ftv47	5	1410.0	0.8	OPTIMAL
ftv47	8	1449.0	1.2	OPTIMAL
ftv55	2	1553.0	1.6	OPTIMAL
ftv55	5	1553.0	1.7	OPTIMAL
ftv55	8	1553.0	1.4	OPTIMAL
ftv64	2	1545.0	1.5	OPTIMAL
ftv64	5	1545.0	1.3	OPTIMAL
ftv64	8	1548.0	2.1	OPTIMAL
ftv70	2	1669.0	2.6	OPTIMAL
ftv70	5	1669.0	2.3	OPTIMAL
ftv70	8	1716.0	5.3	OPTIMAL
ftv80	2	1376.0	3.9	OPTIMAL
ftv80	5	1376.0	4.1	OPTIMAL
ftv80	8	1376.0	4.0	OPTIMAL
ftv90	2	1452.0	4.2	OPTIMAL
ftv90	5	1452.0	4.7	OPTIMAL
ftv90	8	1452.0	4.5	OPTIMAL
kro124	2	9619.0	21.0	OPTIMAL
kro124	5	16595.0	23.8	OPTIMAL
kro124	8	25036.0	24.8	OPTIMAL
p43	2	371.0	0.9	OPTIMAL
p43	5	371.0	1.2	OPTIMAL
p43	8	371.0	1.2	OPTIMAL
rbg323	2	1181.0	30.2	OPTIMAL
rbg323	5	1181.0	31.0	OPTIMAL
rbg323	8	1181.0	47.2	OPTIMAL
rbg358	2	987.0	34.2	OPTIMAL
rbg358	5	987.0	31.5	OPTIMAL
rbg358	8	987.0	33.2	OPTIMAL
rbg403	2	2054.0	49.0	OPTIMAL
rbg403	5	2054.0	44.3	OPTIMAL
rbg403	8	2054.0	53.4	OPTIMAL
rbg443	2	2370.0	74.0	OPTIMAL
rbg443	5	2370.0	57.7	OPTIMAL
rbg443	8	2370.0	61.4	OPTIMAL
ry48p	2	4426.0	4.9	OPTIMAL
ry48p	5	5960.0	2.2	OPTIMAL
ry48p	8	9461.0	4.0	OPTIMAL
stilt100_0	2	2500962.0	158.8	OPTIMAL
stilt100_0	5	5776645.0	161.5	OPTIMAL
stilt100_0	8	10123158.0	139.0	OPTIMAL
stilt100_1	2	2645205.0	484.0	OPTIMAL
stilt100_1	5	5820711.0	91.0	OPTIMAL
stilt100_1	8	10049555.0	62.1	OPTIMAL
stilt100_2	2	2654301.0	139.6	OPTIMAL
stilt100_2	5	5825292.0	69.1	OPTIMAL
stilt100_2	8	9619360.0	15.6	OPTIMAL
stilt100_3	2	3327310.0	1271.3	OPTIMAL
stilt100_3	5	6395529.0	426.0	OPTIMAL
stilt100_3	8	9911305.9	53.6	OPTIMAL
stilt100_4	2	2662325.0	82.9	OPTIMAL
stilt100_4	5	5872971.0	26.9	OPTIMAL
stilt100_4	8	10235892.0	38.6	OPTIMAL
stilt100_5	2	2469070.0	77.9	OPTIMAL
stilt100_5	5	6361876.0	2011.5	OPTIMAL
stilt100_5	8	10116440.0	28.9	OPTIMAL
stilt100_6	2	2722457.0	508.8	OPTIMAL
